AssessmentIndDefinition.Name,AssessmentIndDefinitionId,Id,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId,ExternalId__c,ExternalId__c Reg Code,ExternalId__c (Assessment Indicator Definition)
A person must not operate an assisted living residence that is not registered under section 25 (1).,0eubZ00000001FRQAY,0fMbZ00000000jBUAQ,19pbZ00000002kzQAA,0fCbZ00000000pdUAA,CCALA 26.1,CCALA 26.1,CCALA 26.1
A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,0eubZ00000001FSQAY,0fMbZ00000000jCUAQ,19pbZ00000002kzQAA,0fCbZ00000000peUAA,CCALA 26.5,CCALA 26.5,CCALA 26.5
Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,0eubZ00000001FTQAY,0fMbZ00000000jDUAQ,19pbZ00000002kzQAA,0fCbZ00000000pfUAA,CCALA 26.1.1.a ,CCALA 26.1.1.a ,CCALA 26.1.1.a 
"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",0eubZ00000001FUQAY,0fMbZ00000000jEUAQ,19pbZ00000002kzQAA,0fCbZ00000000pgUAA,CCALA 26.1.1.b ,CCALA 26.1.1.b ,CCALA 26.1.1.b 
Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,0eubZ00000001FVQAY,0fMbZ00000000jFUAQ,19pbZ00000002kzQAA,0fCbZ00000000phUAA,CCALA 26.1.1.c ,CCALA 26.1.1.c ,CCALA 26.1.1.c 
Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,0eubZ00000001FWQAY,0fMbZ00000000jGUAQ,19pbZ00000002kzQAA,0fCbZ00000000piUAA,CCALA 26.1.1.d ,CCALA 26.1.1.d ,CCALA 26.1.1.d 
This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,0eubZ00000001FXQAY,0fMbZ00000000jHUAQ,19pbZ00000002kzQAA,0fCbZ00000000pjUAA,S 15.1.a,S 15.1.a,S 15.1.a
This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,0eubZ00000001FYQAY,0fMbZ00000000jIUAQ,19pbZ00000002kzQAA,0fCbZ00000000pkUAA,S 15.1.b,S 15.1.b,S 15.1.b
"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",0eubZ00000001FZQAY,0fMbZ00000000jJUAQ,19pbZ00000002kzQAA,0fCbZ00000000plUAA,S 15.2.a,S 15.2.a,S 15.2.a
Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,0eubZ00000001FaQAI,0fMbZ00000000jKUAQ,19pbZ00000002kzQAA,0fCbZ00000000pmUAA,S 15.2.b,S 15.2.b,S 15.2.b
"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",0eubZ00000001FbQAI,0fMbZ00000000jLUAQ,19pbZ00000002kzQAA,0fCbZ00000000pnUAA,S 16.1,S 16.1,S 16.1
A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,0eubZ00000001FcQAI,0fMbZ00000000jMUAQ,19pbZ00000002kzQAA,0fCbZ00000000poUAA,S 16.2,S 16.2,S 16.2
"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",0eubZ00000001FdQAI,0fMbZ00000000jNUAQ,19pbZ00000002kzQAA,0fCbZ00000000ppUAA,S 17.1.a,S 17.1.a,S 17.1.a
