Description,EffectiveFrom,Id,Name,RegulatoryAuthority.Name,RegulatoryAuthorityId,Subject,ExternalId__c
A person must not operate an assisted living residence that is not registered under section 25 (1).,2023-11-06T17:00:00.000+0000,0fCbZ00000000pdUAA,CCALA 26.1-Operating an assisted living residence,Ministry of Health,19pbZ00000002kzQAA,CCALA 26.1-Operating an assisted living residence,CCALA 26.1
A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000peUAA,CCALA 26.5-Operating an assisted living residence,Ministry of Health,19pbZ00000002kzQAA,CCALA 26.5-Operating an assisted living residence,CCALA 26.5
Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,2023-11-06T17:00:00.000+0000,0fCbZ00000000pfUAA,CCALA 26.1.1.a - Persons not allowed to reside in an assisted living residence,Ministry of Health,19pbZ00000002kzQAA,CCALA 26.1.1.a - Persons not allowed to reside in an assisted living residence,CCALA 26.1.1.a 
"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",2023-11-06T17:00:00.000+0000,0fCbZ00000000pgUAA,CCALA 26.1.1.b - Persons not allowed to reside in an assisted living residence,Ministry of Health,19pbZ00000002kzQAA,CCALA 26.1.1.b - Persons not allowed to reside in an assisted living residence,CCALA 26.1.1.b 
Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,2023-11-06T17:00:00.000+0000,0fCbZ00000000phUAA,CCALA 26.1.1.c - Persons not allowed to reside in an assisted living residence,Ministry of Health,19pbZ00000002kzQAA,CCALA 26.1.1.c - Persons not allowed to reside in an assisted living residence,CCALA 26.1.1.c 
Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,2023-11-06T17:00:00.000+0000,0fCbZ00000000piUAA,CCALA 26.1.1.d - Persons not allowed to reside in an assisted living residence,Ministry of Health,19pbZ00000002kzQAA,CCALA 26.1.1.d - Persons not allowed to reside in an assisted living residence,CCALA 26.1.1.d 
This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pjUAA,S 15.1.a-  Housing- If more than one class or non-residents,Ministry of Health,19pbZ00000002kzQAA,S 15.1.a-  Housing- If more than one class or non-residents,S 15.1.a
This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pkUAA,S 15.1.b-  Housing- If more than one class or non-residents,Ministry of Health,19pbZ00000002kzQAA,S 15.1.b-  Housing- If more than one class or non-residents,S 15.1.b
"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",2023-11-06T17:00:00.000+0000,0fCbZ00000000plUAA,S 15.2.a-  Housing- If more than one class or non-residents,Ministry of Health,19pbZ00000002kzQAA,S 15.2.a-  Housing- If more than one class or non-residents,S 15.2.a
Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pmUAA,S 15.2.b-  Housing- If more than one class or non-residents,Ministry of Health,19pbZ00000002kzQAA,S 15.2.b-  Housing- If more than one class or non-residents,S 15.2.b
