AssessmentIndicatorDefinitionId,Errors,Id,SequenceNumber,Value
0euAq0000000Up1IAE,,0z5Aq00000001TxIAI,1,1
0euAq0000000Up1IAE,,0z5Aq00000001TyIAI,2,2
0euAq0000000Up1IAE,,0z5Aq00000001TzIAI,3,3
0euAq0000000Up1IAE,,0z5Aq00000001U0IAI,4,4
0euAq0000000Up1IAE,,0z5Aq00000001U1IAI,5,5
0euAq0000000Up2IAE,,0z5Aq00000001U2IAI,1,1
0euAq0000000Up2IAE,,0z5Aq00000001U3IAI,2,2
0euAq0000000Up2IAE,,0z5Aq00000001U4IAI,3,3
0euAq0000000Up2IAE,,0z5Aq00000001U5IAI,4,4
0euAq0000000Up2IAE,,0z5Aq00000001U6IAI,5,5
0euAq0000000Up3IAE,,0z5Aq00000001U7IAI,1,1
0euAq0000000Up3IAE,,0z5Aq00000001U8IAI,2,2
0euAq0000000Up3IAE,,0z5Aq00000001U9IAI,3,3
0euAq0000000Up3IAE,,0z5Aq00000001UAIAY,4,4
0euAq0000000Up3IAE,,0z5Aq00000001UBIAY,5,5
0euAq0000000Up3IAE,,0z5Aq00000001UCIAY,6,6
0euAq0000000Up3IAE,,0z5Aq00000001UDIAY,7,7
0euAq0000000Up3IAE,,0z5Aq00000001UEIAY,8,8
0euAq0000000Up3IAE,,0z5Aq00000001UFIAY,9,9
0euAq0000000Up3IAE,,0z5Aq00000001UGIAY,10,10
