Category__c,DataType,Description,Errors,ExternalId__c,Id,Name
Registration,String,A person must not operate an assisted living residence that is not registered under section 25 (1).,,CCALA 26.1,0euAq0000000UirIAE,A person must not operate an assisted living residence that is not registered under section 25 (1).
Health and Safety,String,A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,,CCALA 26.5,0euAq0000000UisIAE,A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.
Health and Safety,String,Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,,CCALA 26.1.1.a ,0euAq0000000UitIAE,Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely
Health and Safety,String,"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",,CCALA 26.1.1.b ,0euAq0000000UiuIAE,"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg"
Health and Safety,String,Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,,CCALA 26.1.1.c ,0euAq0000000UivIAE,Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others
Health and Safety,String,Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,,CCALA 26.1.1.d ,0euAq0000000UiwIAE,Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services
Housing,String,This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,,S 15.1.a,0euAq0000000UixIAE,This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.
Housing,String,This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,,S 15.1.b,0euAq0000000UiyIAE,This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.
Housing,String,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",,S 15.2.a,0euAq0000000UizIAE,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises."
Housing,String,Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,,S 15.2.b,0euAq0000000Uj0IAE,Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.
Housing,String,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",,S 16.1,0euAq0000000Uj1IAE,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration."
Housing,String,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,,S 16.2,0euAq0000000Uj2IAE,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.
Housing,String,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",,S 17.1.a,0euAq0000000Uj3IAE,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards."
Housing,String,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,,S 17.1.b,0euAq0000000Uj4IAE,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.
Housing,String,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,,S 17.1.c ,0euAq0000000Uj5IAE,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.
Housing,String,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,,S 17.1.d,0euAq0000000Uj6IAE,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.
Housing,String,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",,S 17.2,0euAq0000000Uj7IAE,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents."
Housing,String,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,,S 17.3.a ,0euAq0000000Uj8IAE,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.
