Category__c,DataType,Description,Id,Name,ExternalId__c
Registration,String,A person must not operate an assisted living residence that is not registered under section 25 (1).,0eubZ00000001FRQAY,A person must not operate an assisted living residence that is not registered under section 25 (1).,CCALA 26.1
Health and Safety,String,A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,0eubZ00000001FSQAY,A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,CCALA 26.5
Health and Safety,String,Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,0eubZ00000001FTQAY,Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,CCALA 26.1.1.a 
Health and Safety,String,"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",0eubZ00000001FUQAY,"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",CCALA 26.1.1.b 
Health and Safety,String,Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,0eubZ00000001FVQAY,Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,CCALA 26.1.1.c 
Health and Safety,String,Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,0eubZ00000001FWQAY,Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,CCALA 26.1.1.d 
Housing,String,This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,0eubZ00000001FXQAY,This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,S 15.1.a
Housing,String,This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,0eubZ00000001FYQAY,This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,S 15.1.b
Housing,String,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",0eubZ00000001FZQAY,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",S 15.2.a
Housing,String,Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,0eubZ00000001FaQAI,Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,S 15.2.b
Housing,String,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",0eubZ00000001FbQAI,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",S 16.1
Housing,String,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,0eubZ00000001FcQAI,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,S 16.2
Housing,String,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",0eubZ00000001FdQAI,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",S 17.1.a
Housing,String,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,0eubZ00000001FeQAI,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,S 17.1.b
Housing,String,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,0eubZ00000001FfQAI,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,S 17.1.c 
Housing,String,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,0eubZ00000001FgQAI,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,S 17.1.d
Housing,String,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",0eubZ00000001FhQAI,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",S 17.2
Housing,String,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,0eubZ00000001FiQAI,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,S 17.3.a 
Housing,String,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,0eubZ00000001FjQAI,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,S 17.3.b 
Housing,String,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,0eubZ00000001FkQAI,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,S 18.1.a 
Housing,String,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,0eubZ00000001FlQAI,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,S 18.1.b 
Housing,String,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,0eubZ00000001FmQAI,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,S 18.1.c 
