AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,AssessmentTaskDefinition.Name,AssessmentTaskDefinitionId,DisplayOrder,ExternalId__c,Id
S 15.2.a,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",0eubZ00000001FZQAY,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,UCXPTZ1OHRF319HGKX
S 16.1,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",0eubZ00000001FbQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,QLMW0YPQQNI9BQFPQM
S 16.2,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,0eubZ00000001FcQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,QZAD9JNZD5HTEXHRZO
S 17.1.a,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",0eubZ00000001FdQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,MCCFQB4KY1YOXHJF9L
S 17.1.b,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,0eubZ00000001FeQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,MBFMUOT2UMYJP5CQWS
S 17.1.c ,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,0eubZ00000001FfQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,XG0OFTCKTBFXFKMHRF
S 17.1.d,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,0eubZ00000001FgQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,CKBYWTKGJH7GX2UNCI
S 17.2,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",0eubZ00000001FhQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,8HPLVVTUWO6WVIDPGD
S 17.3.a ,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,0eubZ00000001FiQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,P6MOOK1RVHAOLUAQ3K
S 17.3.b ,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,0eubZ00000001FjQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,NJWLXIFPITIDMI6PT6
S 18.1.a ,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,0eubZ00000001FkQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,V8U7Z6SLZUYMVROHBL
