AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,ExternalId__c,ExternalId__c (Assessment Indicator Definition),ExternalId__c Reg Code,Id,RegulatoryCode.ExternalId__c,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId
CCALA 26.1,A person must not operate an assisted living residence that is not registered under section 25 (1).,0eubZ00000001FRQAY,CCALA 26.1,CCALA 26.1,CCALA 26.1,0fMbZ00000000jBUAQ,CCALA 26.1,19pbZ00000002kzQAA,0fCbZ00000000pdUAA
CCALA 26.5,A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,0eubZ00000001FSQAY,CCALA 26.5,CCALA 26.5,CCALA 26.5,0fMbZ00000000jCUAQ,CCALA 26.5,19pbZ00000002kzQAA,0fCbZ00000000peUAA
CCALA 26.1.1.a ,Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,0eubZ00000001FTQAY,CCALA 26.1.1.a ,CCALA 26.1.1.a ,CCALA 26.1.1.a ,0fMbZ00000000jDUAQ,CCALA 26.1.1.a ,19pbZ00000002kzQAA,0fCbZ00000000pfUAA
CCALA 26.1.1.b ,"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",0eubZ00000001FUQAY,CCALA 26.1.1.b ,CCALA 26.1.1.b ,CCALA 26.1.1.b ,0fMbZ00000000jEUAQ,CCALA 26.1.1.b ,19pbZ00000002kzQAA,0fCbZ00000000pgUAA
CCALA 26.1.1.c ,Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,0eubZ00000001FVQAY,CCALA 26.1.1.c ,CCALA 26.1.1.c ,CCALA 26.1.1.c ,0fMbZ00000000jFUAQ,CCALA 26.1.1.c ,19pbZ00000002kzQAA,0fCbZ00000000phUAA
CCALA 26.1.1.d ,Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,0eubZ00000001FWQAY,CCALA 26.1.1.d ,CCALA 26.1.1.d ,CCALA 26.1.1.d ,0fMbZ00000000jGUAQ,CCALA 26.1.1.d ,19pbZ00000002kzQAA,0fCbZ00000000piUAA
S 15.1.a,This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,0eubZ00000001FXQAY,S 15.1.a,S 15.1.a,S 15.1.a,0fMbZ00000000jHUAQ,S 15.1.a,19pbZ00000002kzQAA,0fCbZ00000000pjUAA
S 15.1.b,This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,0eubZ00000001FYQAY,S 15.1.b,S 15.1.b,S 15.1.b,0fMbZ00000000jIUAQ,S 15.1.b,19pbZ00000002kzQAA,0fCbZ00000000pkUAA
S 15.2.a,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",0eubZ00000001FZQAY,S 15.2.a,S 15.2.a,S 15.2.a,0fMbZ00000000jJUAQ,S 15.2.a,19pbZ00000002kzQAA,0fCbZ00000000plUAA
S 15.2.b,Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,0eubZ00000001FaQAI,S 15.2.b,S 15.2.b,S 15.2.b,0fMbZ00000000jKUAQ,S 15.2.b,19pbZ00000002kzQAA,0fCbZ00000000pmUAA
