Description,EffectiveFrom,Errors,ExternalId__c,Id,Name,RegulatoryAuthorityId,Subject
A person must not operate an assisted living residence that is not registered under section 25 (1).,2023-11-06T17:00:00.000+0000,,CCALA 26.1,0fCAq0000000FBxMAM,CCALA 26.1-Operating an assisted living residence,19pAq0000001JqDIAU,CCALA 26.1-Operating an assisted living residence
A registrant must ensure that the assisted living residence is operated in a manner that does not jeopardize the health or safety of its residents.,2023-11-06T17:00:00.000+0000,,CCALA 26.5,0fCAq0000000FByMAM,CCALA 26.5-Operating an assisted living residence,19pAq0000001JqDIAU,CCALA 26.5-Operating an assisted living residence
Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,2023-11-06T17:00:00.000+0000,,CCALA 26.1.1.a ,0fCAq0000000FBzMAM,CCALA 26.1.1.a - Persons not allowed to reside in an assisted living residence,19pAq0000001JqDIAU,CCALA 26.1.1.a - Persons not allowed to reside in an assisted living residence
"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",2023-11-06T17:00:00.000+0000,,CCALA 26.1.1.b ,0fCAq0000000FC0MAM,CCALA 26.1.1.b - Persons not allowed to reside in an assisted living residence,19pAq0000001JqDIAU,CCALA 26.1.1.b - Persons not allowed to reside in an assisted living residence
Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,2023-11-06T17:00:00.000+0000,,CCALA 26.1.1.c ,0fCAq0000000FC1MAM,CCALA 26.1.1.c - Persons not allowed to reside in an assisted living residence,19pAq0000001JqDIAU,CCALA 26.1.1.c - Persons not allowed to reside in an assisted living residence
Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,2023-11-06T17:00:00.000+0000,,CCALA 26.1.1.d ,0fCAq0000000FC2MAM,CCALA 26.1.1.d - Persons not allowed to reside in an assisted living residence,19pAq0000001JqDIAU,CCALA 26.1.1.d - Persons not allowed to reside in an assisted living residence
This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,2023-11-06T17:00:00.000+0000,,S 15.1.a,0fCAq0000000FC3MAM,S 15.1.a-  Housing- If more than one class or non-residents,19pAq0000001JqDIAU,S 15.1.a-  Housing- If more than one class or non-residents
This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,2023-11-06T17:00:00.000+0000,,S 15.1.b,0fCAq0000000FC4MAM,S 15.1.b-  Housing- If more than one class or non-residents,19pAq0000001JqDIAU,S 15.1.b-  Housing- If more than one class or non-residents
"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",2023-11-06T17:00:00.000+0000,,S 15.2.a,0fCAq0000000FC5MAM,S 15.2.a-  Housing- If more than one class or non-residents,19pAq0000001JqDIAU,S 15.2.a-  Housing- If more than one class or non-residents
Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,2023-11-06T17:00:00.000+0000,,S 15.2.b,0fCAq0000000FC6MAM,S 15.2.b-  Housing- If more than one class or non-residents,19pAq0000001JqDIAU,S 15.2.b-  Housing- If more than one class or non-residents
